Content,Video title,Video publish time,Duration,Impressions,Impressions click-through rate (%),Average views per viewer,New viewers,Subscribers gained,Subscribers lost,Likes,Shares,Comments added,Views,Watch time (hours),Average view duration,Average view duration (sec),Year,Month,Day,Day_of_Week,Hour,Cluster,Performance Label
hOf7m31ZvgQ,SUGARCANE - Leonora (Official Lyric Video),2023-03-30,235.0,191598507,8.14,,,50642,1166,139365,226724,2817,36513253,1985592.122,0 days 00:03:15,195.0,2023,3,30,Thursday,0,1,High Performance
e_my_QCalLI,SUGARCANE - Leonora (Official Music Video),2023-04-14,298.0,122648350,5.85,,,45223,869,121705,46044,2462,13935088,797371.135,0 days 00:03:25,205.0,2023,4,14,Friday,0,2,Medium Performance
GsU4LYHeoUU,"SUGARCANE - Paalam, Leonora (Official Lyric Visualizer)",2023-04-27,264.0,18724150,7.62,,,10067,177,32034,22462,773,2956969,160882.5557,0 days 00:03:15,195.0,2023,4,27,Thursday,0,0,Low Performance
gsYQX9lDkBw,SUGARCANE - Kung Maging Akin Ka (Official Lyric Video),2021-02-13,254.0,14740985,7.95,,,6879,111,19155,27744,837,2891517,167984.1115,0 days 00:03:29,209.0,2021,2,13,Saturday,0,0,Low Performance
JmwJUB5TEbo,SUGARCANE - Leonora (Lyrics),2023-12-13,232.0,13724747,9.45,,,0,0,7160,14949,177,2733533,140982.2018,0 days 00:03:05,185.0,2023,12,13,Wednesday,0,0,Low Performance
Rw8x2trAZZ0,SUGARCANE - Dalangin (Official Lyrics & Chords),2021-07-31,343.0,12141725,8.0,,,7210,113,17089,19228,552,2149921,152970.1698,0 days 00:04:16,256.0,2021,7,31,Saturday,0,0,Low Performance
EBqRQKbJA9g,"SUGARCANE, JC Herrero - Paruparo (Official Lyrics & Chords)",2022-07-07,297.0,9399638,8.68,,,5045,66,11520,19674,368,1578276,98156.315,0 days 00:03:43,223.0,2022,7,7,Thursday,0,0,Low Performance
xQDZ4SjYVkk,SUGARCANE - Gunita (Official Lyric Video),2020-07-05,332.0,8400601,8.22,,,5201,71,13738,15330,645,1518975,105761.6888,0 days 00:04:10,250.0,2020,7,5,Sunday,0,0,Low Performance
MrDnh6CACCk,"SUGARCANE, JC Herrero - Paruparo (Official Music Video)",2022-07-16,304.0,7434792,7.74,,,6128,87,18570,7476,703,930504,44966.6751,0 days 00:02:53,173.0,2022,7,16,Saturday,0,0,Low Performance
_pOmGWTmuek,Leonora,2023-03-30,235.0,6141837,5.91,,,23,0,47236,13223,181,6793812,327186.5992,0 days 00:02:53,173.0,2023,3,30,Thursday,0,0,Low Performance
BUxdzinLdLM,"SUGARCANE, Angelica Gantang - Sinehan (Official Music Video)",2023-09-24,217.0,4850453,7.0,,,3282,42,15270,3466,594,508718,17953.5511,0 days 00:02:07,127.0,2023,9,24,Sunday,0,0,Low Performance
fZOMwXxQmqs,SUGARCANE - Maria Clara (Official Lyric Video),2024-03-07,274.0,4201973,7.52,,,2302,37,9596,8385,353,643878,35279.3764,0 days 00:03:17,197.0,2024,3,7,Thursday,0,0,Low Performance
rehKbRxoxTo,SUGARCANE - Maria Clara (Official Music Video),2024-03-22,278.0,3237013,7.04,,,2305,60,8651,3298,247,571957,27261.3604,0 days 00:02:51,171.0,2024,3,22,Friday,0,0,Low Performance
akq03K3qGPQ,Leonora (Lyrics) - Sugarcane,2023-07-24,232.0,3049213,7.39,,,0,0,1518,2117,24,434551,20379.7328,0 days 00:02:48,168.0,2023,7,24,Monday,0,0,Low Performance
zUI2DdV2anI,Kung Maging Akin Ka,2022-03-10,254.0,2962120,6.41,,,243,9,14095,6947,138,1562428,79761.7871,0 days 00:03:03,183.0,2022,3,10,Thursday,0,0,Low Performance
YkKJclV7viE,Dalangin,2022-03-10,342.0,2950673,6.17,,,28,1,8108,3736,100,862218,55651.9026,0 days 00:03:52,232.0,2022,3,10,Thursday,0,0,Low Performance
0OxubinizpE,Sugarcane - Leonora - We Play Here Live,2023-06-09,250.0,2711367,4.96,,,0,0,2737,696,70,321412,17475.7877,0 days 00:03:15,195.0,2023,6,9,Friday,0,0,Low Performance
keG9p9k3Ff8,SUGARCANE - Leonora (Official Instrumental/Karaoke),2023-04-22,231.0,2689812,15.76,,,1877,36,7430,32137,121,520963,17611.9389,0 days 00:02:01,121.0,2023,4,22,Saturday,0,0,Low Performance
vkHm5QbiocA,SUGARCANE - Tanging Ikaw (Official Lyric Visualizer),2025-01-30,183.0,2479415,9.06,,,2167,40,11611,9041,482,1046360,33298.5018,0 days 00:01:54,114.0,2025,1,30,Thursday,0,0,Low Performance
k6KDDSfzNlY,SUGARCANE - Gabi (Official Lyric Video),2020-02-01,226.0,2467952,9.6,,,1987,49,5747,6749,310,506952,23024.7431,0 days 00:02:43,163.0,2020,2,1,Saturday,0,0,Low Performance
_GdOhSZNlMU,Paruparo,2022-07-07,297.0,1868958,6.6,,,166,5,11731,4299,108,1123899,64292.4667,0 days 00:03:25,205.0,2022,7,7,Thursday,0,0,Low Performance
GP3nyBDsQaI,Leonora   Sugarcane (Lyrics),2023-08-04,233.0,1849688,6.97,,,0,0,720,1057,11,287623,13885.2159,0 days 00:02:53,173.0,2023,8,4,Friday,0,0,Low Performance
KFG4be-m_LU,"Paalam, Leonora",2023-04-27,260.0,1441793,6.9,,,0,0,13265,3439,130,1330500,67389.1874,0 days 00:03:02,182.0,2023,4,27,Thursday,0,0,Low Performance
bOfg_TvuqqY,Leonora (Live at The Cozy Cove) https://youtu.be/bgGNtj2ubcM,2023-06-22,58.0,1403036,1.74,,,181,7,2495,114,26,42165,414.2707,0 days 00:00:36,36.0,2023,6,22,Thursday,0,0,Low Performance
AjgbJeYUEhU,SUGARCANE - Bituin (Official Lyric Video),2019-07-25,199.0,1370555,8.92,,,1067,24,3700,4371,182,286235,12584.3035,0 days 00:02:38,158.0,2019,7,25,Thursday,0,0,Low Performance
AQF2wFy8cVc,SUGARCANE - Leonora (Official Guitar Chords),2023-04-20,237.0,1367001,12.68,,,1137,24,4149,1452,118,212293,6079.2824,0 days 00:01:43,103.0,2023,4,20,Thursday,0,0,Low Performance
EQxz6zL9RFI,SUGARCANE - Leonora (Official Flute Notes),2023-04-30,231.0,1234495,9.64,,,1372,26,4721,1855,172,172297,5333.5095,0 days 00:01:51,111.0,2023,4,30,Sunday,0,0,Low Performance
2QMGl988H1s,Leonora - Sugarcane (karaoke version),2023-08-01,239.0,1207186,14.74,,,0,0,592,770,11,206782,8328.5863,0 days 00:02:24,144.0,2023,8,1,Tuesday,0,0,Low Performance
a3J1bDtNyU8,SUGARCANE - Reside [ft. Angel] (Official Lyric Video),2020-12-20,279.0,1001055,8.49,,,616,8,3016,3086,260,192352,11057.3563,0 days 00:03:26,206.0,2020,12,20,Sunday,0,0,Low Performance
2AB-Jmon_mQ,"SUGARCANE, Angelica Gantang - Sinehan (Official Lyric Video)",2023-09-21,197.0,984922,7.4,,,569,7,2911,2644,207,145193,6614.5254,0 days 00:02:44,164.0,2023,9,21,Thursday,0,0,Low Performance
Ej63qEIRnpU,SUGARCANE - Lagi Na Lang (Official Lyric Visualizer),2024-11-07,250.0,895088,6.31,,,559,7,2765,1873,182,154630,8203.7028,0 days 00:03:10,190.0,2024,11,7,Thursday,0,0,Low Performance
ipnJvVYChjI,Gunita,2022-03-10,329.0,824046,4.69,,,4,0,3514,1595,25,404991,25948.7142,0 days 00:03:50,230.0,2022,3,10,Thursday,0,0,Low Performance
1cnvopHH5vo,"SUGARCANE - Paalam, Leonora (Official Guitar Chords)",2023-06-23,260.0,698877,6.87,,,303,8,1446,558,54,64511,2276.2483,0 days 00:02:07,127.0,2023,6,23,Friday,0,0,Low Performance
2gztejvb-YQ,SUGARCANE - Set You Free (Official Audio),2023-11-23,278.0,643974,5.45,,,182,2,969,853,66,87679,5162.3259,0 days 00:03:31,211.0,2023,11,23,Thursday,0,0,Low Performance
Mlx4aXDEXBg,SUGARCANE- LEONORA (LYRICS),2023-10-02,230.0,616322,7.9,,,0,0,220,522,2,100724,4662.3782,0 days 00:02:46,166.0,2023,10,2,Monday,0,0,Low Performance
NvLyyyuB8Yc,Sugarcane - Pagbigyan (Official Music Video),2024-07-26,290.0,580889,5.21,,,275,2,1912,776,154,68870,3376.0135,0 days 00:02:56,176.0,2024,7,26,Friday,0,0,Low Performance
Ni8gOu4a7Yg,Leonora,2023-04-27,235.0,558871,3.92,,,0,0,3420,562,12,598851,27425.8537,0 days 00:02:44,164.0,2023,4,27,Thursday,0,0,Low Performance
HxwXU6WTUDQ,Leonora 🔥 #shorts #leonora #davecarlos,2023-09-08,46.0,541701,1.31,,,0,0,642,25,25,12722,83.5028,0 days 00:00:25,25.0,2023,9,8,Friday,0,0,Low Performance
WBKEoCpr33o,SUGARCANE - Paruparo (Official Instrumental/Karaoke),2022-07-23,297.0,538605,9.1,,,229,4,685,1045,19,61184,2399.3196,0 days 00:02:21,141.0,2022,7,23,Saturday,0,0,Low Performance
NQBRpBlCzvE,SUGARCANE feat. Jikamarie - Aking Maria Clara (Official Lyric Visualizer),2024-05-23,251.0,527646,4.99,,,275,5,1588,851,115,70718,3160.3273,0 days 00:02:40,160.0,2024,5,23,Thursday,0,0,Low Performance
8ypKTFiLoXY,SUGARCANE/LEONORA,2023-08-28,232.0,496763,5.4,,,0,0,100,146,0,46429,2092.1378,0 days 00:02:42,162.0,2023,8,28,Monday,0,0,Low Performance
HrlouUIBk2M,SUGARCANE - Leonora (starring Klay and Fidel of Maria Clara at Ibarra) FMV,2023-06-24,240.0,413429,6.54,,,0,0,552,149,15,43548,1753.1321,0 days 00:02:24,144.0,2023,6,24,Saturday,0,0,Low Performance
mu9D2TJG7C8,SUGARCANE - Dalangin (Official Instrumental/Karaoke),2021-08-01,342.0,395120,8.39,,,239,8,734,716,23,55162,1884.8859,0 days 00:02:03,123.0,2021,8,1,Sunday,0,0,Low Performance
SPe1-l05MlE,Gunita - Sugarcane (lyrics) | MALyrics,2021-09-18,330.0,388460,11.85,,,0,0,408,1025,11,77577,4502.5036,0 days 00:03:28,208.0,2021,9,18,Saturday,0,0,Low Performance
_PnBjv7uv3s,SUGARCANE - Kung Maging Akin Ka (Official Instrumental/Karaoke),2021-07-30,254.0,387588,10.21,,,253,4,966,931,39,50237,1942.8811,0 days 00:02:19,139.0,2021,7,30,Friday,0,0,Low Performance
vY9G3NbEyLU,#song #leonora #musica,2023-06-09,61.0,368921,3.9,,,0,0,637,116,6,22225,265.2373,0 days 00:00:48,48.0,2023,6,9,Friday,0,0,Low Performance
uT7VxKrKTi0,SUGARCANE - Paruparo (Official Guitar Chords),2022-07-20,299.0,348412,5.79,,,130,2,629,168,19,27155,1249.1702,0 days 00:02:45,165.0,2022,7,20,Wednesday,0,0,Low Performance
5sDcsv9PzBk,Leonora - Sugarcane (Lyrics) #leonora #lyrics #sugarcane  #opm,2023-07-16,230.0,343002,9.98,,,0,0,187,289,10,61951,3038.0771,0 days 00:02:56,176.0,2023,7,16,Sunday,0,0,Low Performance
gYj6SadNK8Y,SUGARCANE - Leonora (Lead Guitar Playthrough),2023-05-03,42.0,337099,6.5,,,78,1,503,133,28,25735,219.6676,0 days 00:00:30,30.0,2023,5,3,Wednesday,0,0,Low Performance
lUIQWNk_djg,Uhaw - Dilaw #fypmusic #dilaw #uhaw #uhawtayonglahat,2023-03-13,61.0,308849,3.14,,,76,2,776,54,11,24261,251.2039,0 days 00:00:37,37.0,2023,3,13,Monday,0,0,Low Performance
p36OA968Z9M,Ang pagbabalik ng SUGARCANE sa Youtube Shorts,2023-09-10,31.0,294045,1.42,,,23,0,445,6,8,7145,38.6863,0 days 00:00:19,19.0,2023,9,10,Sunday,0,0,Low Performance
MJPyA1rAqPc,LOOK HOW GENTLE ANDRES WHEN IT COMES TO HIS GIRLFRIEND 🤭👀#ashdres,2025-04-27,29.0,293702,11.05,,,0,0,6104,161,18,186005,649.3638,0 days 00:00:22,22.0,2025,4,27,Sunday,0,0,Low Performance
u5gecXDsigg,SUGARCANE - Leonora (Keyboard Playthrough),2023-05-20,149.0,285515,4.13,,,53,1,404,106,13,17183,270.3575,0 days 00:00:56,56.0,2023,5,20,Saturday,0,0,Low Performance
5Jp6BaWEYD8,Sugarcane - Pagbigyan (Official Lyric Video),2024-09-07,285.0,272582,5.81,,,82,1,696,528,43,34418,1906.738,0 days 00:03:19,199.0,2024,9,7,Saturday,0,0,Low Performance
5yzQnL0cDk0,SUGARCANE - Gunita (Official Instrumental/Karaoke),2020-07-25,329.0,263184,9.06,,,109,2,530,814,116,29664,1245.3503,0 days 00:02:31,151.0,2020,7,25,Saturday,0,0,Low Performance
oTr3uOMrZQo,SUGARCANE - Paruparo (Official Lead Guitar Tabs),2022-08-01,299.0,252412,3.44,,,71,2,272,76,13,11064,293.9868,0 days 00:01:35,95.0,2022,8,1,Monday,0,0,Low Performance
-t2aDu8oExI,Sugarcane - Pagbigyan (Official Audio),2024-07-25,285.0,234171,4.06,,,108,1,859,406,106,17819,950.4944,0 days 00:03:12,192.0,2024,7,25,Thursday,0,0,Low Performance
OEhfXE359To,Leonora Solo | Sugarcane #shorts,2023-05-13,44.0,223759,1.23,,,0,0,205,8,3,6243,36.7662,0 days 00:00:22,22.0,2023,5,13,Saturday,0,0,Low Performance
LAo4KBYreu4,Kung maging akin ka (lyrics) - Sugarcane,2022-12-11,255.0,221457,7.77,,,0,0,191,439,5,29104,1416.6198,0 days 00:02:55,175.0,2022,12,11,Sunday,0,0,Low Performance
SdwZbxVGteY,Leonora (Lyrics) | By: Sugarcane,2023-12-21,235.0,220109,5.58,,,0,0,52,47,1,23538,1075.5919,0 days 00:02:44,164.0,2023,12,21,Thursday,0,0,Low Performance
ian-_SiH3-o,FranSeth super comfy na talaga sa isa't isa 💙 Francine Diaz | Seth Fedelin,2023-10-03,16.0,215884,6.71,,,0,0,4468,32,42,56065,274.2765,0 days 00:00:18,18.0,2023,10,3,Tuesday,0,0,Low Performance
y-oFGpW0lGo,Oo - UDD | Garden Sessions,2023-05-17,61.0,212688,1.7,,,23,0,310,8,5,6430,44.4813,0 days 00:00:25,25.0,2023,5,17,Wednesday,0,0,Low Performance
g1cFcSarLRA,Leonora/Sugarcane,2023-06-20,39.0,212103,1.43,,,0,0,97,7,0,5944,32.8793,0 days 00:00:22,22.0,2023,6,20,Tuesday,0,0,Low Performance
tm7fRlt0jt8,SUGARCANE - Maria Clara (Official Instrumental/Karaoke),2024-05-10,275.0,197643,6.51,,,43,0,334,856,15,17952,451.7383,0 days 00:01:30,90.0,2024,5,10,Friday,0,0,Low Performance
vgwU-nIBQaQ,Sugarcane - Pagbigyan feat. Gian of Cup of Joe (Live at We Play Here UP),2024-11-07,335.0,193731,5.04,,,75,1,551,177,23,17555,1116.9123,0 days 00:03:49,229.0,2024,11,7,Thursday,0,0,Low Performance
zkINZkApD24,SUGARCANE - Rainbow | © South Border,2021-10-18,311.0,189090,4.07,,,90,4,520,53,48,10920,326.5281,0 days 00:01:47,107.0,2021,10,18,Monday,0,0,Low Performance
4e6Qqx7aQQ4,SUGARCANE - Maria Clara (Official Music Video - BTS),2024-04-13,129.0,187580,4.24,,,30,1,282,54,15,12682,161.8094,0 days 00:00:45,45.0,2024,4,13,Saturday,0,0,Low Performance
1Pyj2p9OK8k,OUT NOW! https://youtu.be/BUxdzinLdLM?si=xcF3fdqgpx5Vs2R_,2023-09-24,29.0,182009,0.82,,,9,0,158,3,1,2150,8.9071,0 days 00:00:15,15.0,2023,9,24,Sunday,0,0,Low Performance
8KRTmSyW0sI,Paruparo (lyrics) Sugarcane & JC Herrero,2022-11-26,302.0,179264,10.74,,,0,0,165,284,0,30431,1709.5536,0 days 00:03:22,202.0,2022,11,26,Saturday,0,0,Low Performance
hMS4Z6Z1wAo,Sugarcane - Kwentong Sinehan Ft. Francine Diaz,2023-10-10,452.0,178255,4.2,,,99,3,726,59,45,10065,417.1819,0 days 00:02:29,149.0,2023,10,10,Tuesday,0,0,Low Performance
NALK8z36zYg,Maria Clara At Ibarra - Leonora | Clarisostomo FMV,2023-07-03,223.0,178007,10.03,,,0,0,529,656,13,25658,739.9821,0 days 00:01:43,103.0,2023,7,3,Monday,0,0,Low Performance
5QMcl3nktj4,Bituin (Live) | from UP Fair: Cosmic Clash 2021 (Stand with Farmers),2021-02-11,204.0,173626,4.18,,,89,4,467,64,53,12620,450.1431,0 days 00:02:08,128.0,2021,2,11,Thursday,0,0,Low Performance
fTA4-h8c0Qk,SUGARCANE - Sinehan (Official Instrumental/Karaoke),2023-10-07,200.0,171588,4.44,,,35,3,182,144,12,9782,271.8273,0 days 00:01:40,100.0,2023,10,7,Saturday,0,0,Low Performance
zEipacYBckY,"Paalam, Leonora | Sugarcane (Lyrics)",2023-07-20,266.0,159666,12.88,,,0,0,170,491,5,30553,1585.5557,0 days 00:03:06,186.0,2023,7,20,Thursday,0,0,Low Performance
CRsgJrc-6eg,SUGARCANE - Reside [ft. Angel] (Official Instrumental/Karaoke),2021-02-10,279.0,153339,4.64,,,37,3,218,212,20,9090,270.0874,0 days 00:01:46,106.0,2021,2,10,Wednesday,0,0,Low Performance
_67ogpekd-4,Leonora (MV) | Official Trailer | 04-14-23 | 8PM,2023-04-12,16.0,146813,4.14,,,71,0,415,83,23,24324,77.9692,0 days 00:00:11,11.0,2023,4,12,Wednesday,0,0,Low Performance
5wHB2p5wUDM,Leonora - SUGARCANE 😍💖 #shorts #leonora #sugarcane #opmcover  #shortscoversong #shortscover #opm,2023-05-01,40.0,146332,1.41,,,0,0,104,3,1,4314,18.1408,0 days 00:00:15,15.0,2023,5,1,Monday,0,0,Low Performance
HgYJOkwiFRQ,Horses in Kalesa 🇵🇭 #travel #kabayo #kalesa #manila #philippines #fyp #fypシ #trees,2023-09-17,16.0,146233,2.05,,,0,0,225,10,3,18396,59.5602,0 days 00:00:16,16.0,2023,9,17,Sunday,0,0,Low Performance
Fxyaqk9E_RE,SUGARCANE - Sinehan (Flute Playthrough),2023-11-11,75.0,140977,3.44,,,18,3,82,22,3,5762,41.85,0 days 00:00:26,26.0,2023,11,11,Saturday,0,0,Low Performance
xcWC_TIm_ms,SUGARCANE - leonora (lyrics),2023-12-30,223.0,139108,4.73,,,0,0,29,41,1,12221,502.3811,0 days 00:02:27,147.0,2023,12,30,Saturday,0,0,Low Performance
hCWcY5f2fHk,"“𝐌𝐀𝐑𝐈𝐀 𝐂𝐋𝐀𝐑𝐀” 𝐌𝐔𝐒𝐈𝐂 𝐕𝐈𝐃𝐄𝐎, 𝐎𝐔𝐓 𝐍𝐎𝐖! 💃🏽 youtu.be/rehKbRxoxTo",2024-03-25,15.0,138854,1.36,,,12,0,162,5,7,3403,12.2157,0 days 00:00:13,13.0,2024,3,25,Monday,0,0,Low Performance
zVSZpoDnXVo,SUGARCANE - Gabi (Official Instrumental/Karaoke),2020-03-01,228.0,138398,6.89,,,47,1,244,193,2,12231,349.7782,0 days 00:01:42,102.0,2020,3,1,Sunday,0,0,Low Performance
lN-FoVNuV0I,SUGARCANE - Sinehan (Piano Playthrough),2023-10-15,176.0,133187,2.03,,,17,4,112,32,9,4360,89.8971,0 days 00:01:14,74.0,2023,10,15,Sunday,0,0,Low Performance
-EOOEaKRudw,Sugarcane - Leonora (Lyric Video),2023-07-29,235.0,132802,7.05,,,0,0,46,73,1,15177,707.0073,0 days 00:02:47,167.0,2023,7,29,Saturday,0,0,Low Performance
hmR2BC8ciaA,SUGARCANE - Tanging Ikaw (Harana Ver.),2025-07-03,181.0,123373,6.11,,,53,3,549,225,46,17060,600.1416,0 days 00:02:06,126.0,2025,7,3,Thursday,0,0,Low Performance
l5Rlvnye568,SUGARCANE - Maria Clara (MV Teaser),2024-03-21,18.0,121891,1.22,,,12,0,306,6,7,3495,15.4852,0 days 00:00:16,16.0,2024,3,21,Thursday,0,0,Low Performance
qHUOfwmStII,DALANGIN || Sugarcane (Lyrics),2023-07-05,343.0,116265,8.67,,,0,0,85,185,0,15180,783.1279,0 days 00:03:05,185.0,2023,7,5,Wednesday,0,0,Low Performance
TuicCKwBZSQ,my loveee💛💛 #runcavmanagement @runcavmanagement5845 @rhajalanelabuanan9816,2024-01-14,17.0,113790,0.86,,,0,0,936,2,11,10613,22.7378,0 days 00:00:07,7.0,2024,1,14,Sunday,0,0,Low Performance
E_VtfIWJPoo,Sugarcane - Set You Free (Warner 30th),2023-11-27,278.0,113092,6.95,,,0,0,136,158,8,14741,837.301,0 days 00:03:24,204.0,2023,11,27,Monday,0,0,Low Performance
vyaYwQYntNM,SUGARCANE - Maria Clara (Guitar Playthrough),2024-04-05,274.0,112740,3.51,,,17,1,123,30,9,5120,115.6499,0 days 00:01:21,81.0,2024,4,5,Friday,0,0,Low Performance
hT3NbsHW8Pk,SUGARCANE - Set You Free (Official Instrumental/Karaoke),2024-02-10,277.0,112377,2.5,,,13,0,74,33,6,3853,122.9455,0 days 00:01:54,114.0,2024,2,10,Saturday,0,0,Low Performance
lzycDgyWj2U,SUGARCANE - Sinehan (Acoustic Guitar Playthrough),2023-10-29,135.0,111877,3.0,,,14,4,130,14,3,4860,102.4088,0 days 00:01:15,75.0,2023,10,29,Sunday,0,0,Low Performance
lpSkJrNR4BY,Dalangin (lyrics) - Sugarcane,2022-12-03,343.0,111665,7.35,,,0,0,101,156,4,13017,749.1349,0 days 00:03:27,207.0,2022,12,3,Saturday,0,0,Low Performance
